last_name,p_jewish
meyer,0.25
meyers,0.25
wolf,0.25
bauer,0.2
becker,0.2
grass,0.2
hess,0.2
kasper,0.2
meister,0.2
myers,0.2
naumann,0.2
press,0.2
ritter,0.2
rose,0.2
schubert,0.2
schuck,0.2
shaffer,0.2
shire,0.2
simon,0.2
wolfe,0.2
kane,0.15
robbins,0.15
simons,0.15
snyder,0.15
ellis,0.1
hart,0.1
lang,0.1
morris,0.1
rudolph,0.1
shilling,0.1
slade,0.1
slater,0.1
starr,0.1
toby,0.1
turk,0.1
warner,0.1
winter,0.1
winters,0.1
wise,0.1
wyman,0.1
brown,0.05
browne,0.05
good,0.05
harris,0.05
kowalski,0.05
lewis,0.05
miller,0.05
nash,0.05
palmer,0.05
perry,0.05
peters,0.05
phillips,0.05
preston,0.05
price,0.05
prince,0.05
roberts,0.05
schmid,0.05
schmidt,0.05
schroeder,0.05
schultz,0.05
schulz,0.05
shaw,0.05
small,0.05
smart,0.05
strazzulla,0.05
sylvester,0.05
talmadge,0.05
tatum,0.05
torres,0.05
tucker,0.05
von,0.05
wagner,0.05
walter,0.05
walters,0.05
ward,0.05
watkins,0.05
weber,0.05
wellington,0.05
wells,0.05
winston,0.05
witt,0.05
wynn,0.05
zola,0.05
white,0.02
wilson,0.02
wood,0.02
woods,0.02
wright,0.02
young,0.02
smith,0.01
williams,0.01
